ds,yhat,yhat_lower,yhat_upper,category,y
2023-01-01,10999.136980826052,10173.098586394713,11779.032972751284,Electronics,11607.06
2023-01-02,6135.719159039122,5391.008416564571,6966.530406853806,Electronics,6078.36
2023-01-03,6036.621893631915,5219.619717631917,6796.201697307827,Electronics,6477.7
2023-01-04,6137.453346857043,5356.546143296426,6910.14233735921,Electronics,6922.34
2023-01-05,6053.577984948255,5213.312147824738,6918.314772214434,Electronics,6066.29
2023-01-06,6101.541474149288,5320.320970724024,6924.396527073703,Electronics,6077.34
2023-01-07,8150.280471988368,7326.4823220917,8932.288868850379,Electronics,9084.5
2023-01-08,8137.814291136139,7323.4643720609665,8919.679301499486,Electronics,8575.28
2023-01-09,6147.0500864344585,5386.857972570383,6943.178421087757,Electronics,5991.23
2023-01-10,6036.433866041645,5183.78591261073,6862.226750112552,Electronics,6505.52
2023-01-11,6128.384499717115,5279.096914375685,6886.635367188391,Electronics,6012.92
2023-01-12,6038.31170438954,5229.089164793508,6880.436877563721,Electronics,6020.58
2023-01-13,6082.745938772773,5257.257252390503,6883.174418548554,Electronics,6383.61
2023-01-14,8130.55006207692,7338.587038742088,8940.24432329134,Electronics,6904.32
2023-01-15,8119.6142221298505,7309.759206388488,8936.857976238014,Electronics,7036.23
2023-01-16,6132.665516446901,5293.777980057931,6931.190254512271,Electronics,6003.87
2023-01-17,6027.92459014205,5254.568004377779,6860.637940237049,Electronics,5784.05
2023-01-18,6127.546181123806,5279.10213682563,6963.1678767608855,Electronics,6459.44
2023-01-19,6046.64440844861,5254.192394379266,6803.653320366425,Electronics,5849.47
2023-01-20,6101.430535814053,5313.251695650974,6826.11601753012,Electronics,5600.56
2023-01-21,8160.43285453233,7343.08318091601,8993.478550192121,Electronics,9179.11
2023-01-22,8161.199936000439,7324.4668035870745,8972.794201109058,Electronics,8074.45
2023-01-23,6186.118582697446,5380.607562158596,6955.079229011639,Electronics,6364.72
2023-01-24,6093.078433814806,5301.92301967267,6890.905444894341,Electronics,5613.2
2023-01-25,6203.920039972914,5454.195496794383,7063.927683134487,Electronics,6063.61
2023-01-26,6133.467024003783,5317.116667069367,6895.2462204713165,Electronics,6400.03
2023-01-27,6197.66990208204,5373.784569609485,6942.6938878508345,Electronics,5762.93
2023-01-28,8264.831077132063,7478.5602437529,9053.172389928179,Electronics,8504.01
2023-01-29,8272.31215013469,7477.673254513154,9097.812670676587,Electronics,7862.76
2023-01-30,6302.3548045679545,5548.850730233476,7118.011336457137,Electronics,6207.78
2023-01-31,6212.74717785192,5449.004112350393,7034.464403811213,Electronics,6052.18
2023-02-01,6325.272524303346,5522.295678645861,7165.42616486194,Electronics,7302.46
2023-02-02,6254.7408084307135,5414.055801614179,7072.9814568629645,Electronics,6354.54
2023-02-03,6317.130855975803,5498.9123669949195,7093.233243827707,Electronics,5824.05
2023-02-04,8380.81265107053,7599.995030382001,9173.148861031967,Electronics,8816.3
2023-02-05,8383.25103982773,7595.357409769594,9202.940597549217,Electronics,7464.38
2023-02-06,6406.822215244256,5611.101850358087,7282.577790073651,Electronics,6469.52
2023-02-07,6309.4750477449825,5520.553514749672,7130.246833382194,Electronics,5365.2
2023-02-08,6413.174224646302,5631.423694948128,7213.184109706754,Electronics,5685.85
2023-02-09,6332.926005682498,5582.19096080427,7152.385427704601,Electronics,6460.75
2023-02-10,6384.9143934040785,5622.552798340177,7158.33162171716,Electronics,6734.63
2023-02-11,8437.717482023323,7697.7881981246255,9268.353045647638,Electronics,8377.35
2023-02-12,8429.005401803255,7641.800281310608,9258.59984561694,Electronics,8184.55
2023-02-13,6441.351397030818,5667.383856107212,7236.300845533467,Electronics,6198.85
2023-02-14,6332.8882379332845,5501.7095404714755,7154.189406562763,Electronics,5597.81
2023-02-15,6425.7470525098015,5558.040563191874,7179.756865067476,Electronics,5979.86
2023-02-16,6335.079486417645,5521.188209041941,7121.619855589706,Electronics,6107.74
2023-02-17,6377.191066674905,5584.251368750191,7188.569107441309,Electronics,6873.15
2023-02-18,8420.755584819117,7650.296518510284,9200.67692159907,Electronics,8458.73
2023-02-19,8403.511942373643,7571.336772604515,9180.419991760047,Electronics,7065.79
2023-02-20,6408.074996291469,5566.448759440671,7224.479363236438,Electronics,6486.32
2023-02-21,6292.592578700648,5471.88376386161,7088.008013038407,Electronics,6122.15
2023-02-22,6379.185726901398,5557.298213496878,7213.096195718093,Electronics,5968.99
2023-02-23,6282.972959474711,5468.648360248766,7070.044400674021,Electronics,6612.87
2023-02-24,6320.206382652592,5513.5188168477525,7101.825660300768,Electronics,6817.09
2023-02-25,8359.489334829246,7622.561310621919,9136.920266746987,Electronics,8787.03
2023-02-26,8338.476891488868,7492.10680413856,9185.441413401586,Electronics,7619.75
2023-02-27,6339.690639301637,5504.101078588297,7114.418435118085,Electronics,6120.19
2023-02-28,6221.179759849118,5426.821797100704,6993.237121783152,Electronics,6433.42
2023-03-01,6304.965324834499,5463.249689611468,7124.516013206499,Electronics,6747.36
2023-03-02,6206.068508094483,5402.565915559473,7021.175460102805,Electronics,6010.54
2023-03-03,6240.650375600598,5435.81576826719,7046.429355203783,Electronics,6148.33
2023-03-04,8277.232849389333,7429.864120414512,9065.399397606947,Electronics,7384.08
2023-03-05,8253.40207016089,7510.631491955604,9095.086585430254,Electronics,7314.37
2023-03-06,6251.62548672187,5470.852009933488,7080.046087862387,Electronics,6615.55
2023-03-07,6129.914651716352,5311.587522867142,6888.668160850639,Electronics,6874.23
2023-03-08,6210.270582153979,5369.713733537227,7010.647845309786,Electronics,6155.01
2023-03-09,6107.712375929374,5277.188132787505,6931.343867900259,Electronics,6675.77
2023-03-10,6138.41674258368,5360.07568943809,6895.000162807781,Electronics,6346.79
2023-03-11,8170.938070344275,7339.588754231757,8913.439629721077,Electronics,7590.64
2023-03-12,8142.910297314092,7288.965176750882,8969.847628695376,Electronics,8219.16
2023-03-13,6136.861976666174,5309.807564796233,7002.5684574079705,Electronics,6887.12
2023-03-14,6010.8765928635585,5234.385499943812,6719.340488083278,Electronics,6102.5
2023-03-15,6087.035081224892,5255.332718953696,6874.302040999643,Electronics,6871.69
2023-03-16,5980.441338084509,5158.96479090244,6779.279419540353,Electronics,4816.95
2023-03-17,6007.358493551247,5197.63550438646,6843.041667269642,Electronics,6480.62
2023-03-18,8036.425677806794,7209.196110197922,8833.812400905728,Electronics,7942.24
2023-03-19,8005.356660722087,7221.136844319302,8806.615800689435,Electronics,7681.01
2023-03-20,5996.751862206533,5149.72371111454,6764.495941710191,Electronics,6083.43
2023-03-21,5868.755890722329,5106.897617866212,6677.602623550906,Electronics,5066.72
2023-03-22,5943.4976523959485,5197.047220070787,6762.120966881746,Electronics,5904.38
2023-03-23,5836.113895238641,5052.544309040589,6605.36563057972,Electronics,6166.35
2023-03-24,5862.884022244233,5049.750732524822,6665.746001184966,Electronics,6686.91
2023-03-25,7892.445949198989,7127.35319841241,8713.003955226532,Electronics,7432.35
2023-03-26,7862.494413458102,7064.146607930975,8639.291534256687,Electronics,7233.3
2023-03-27,5855.593238712266,5076.928655392231,6700.485392366451,Electronics,5694.82
2023-03-28,5729.833701659206,4877.994701451425,6543.414583978353,Electronics,6350.19
2023-03-29,5807.276013401508,5001.92926531763,6587.142181326742,Electronics,6055.76
2023-03-30,5702.974732673516,4881.385368869693,6530.878933025144,Electronics,5634.68
2023-03-31,5733.115882161768,4923.684308628462,6508.205525045851,Electronics,6108.24
2023-04-01,7766.235467419087,6955.333451120806,8572.256455935858,Electronics,7664.56
2023-04-02,7739.920717529105,6934.160952124063,8572.933206379623,Electronics,8170.87
2023-04-03,5736.625457275319,4908.915119409589,6560.306734172152,Electronics,5489.29
2023-04-04,5614.331656735225,4798.106005914834,6421.725776411948,Electronics,5646.45
2023-04-05,5694.994069031721,4884.757409561798,6494.005902135627,Electronics,5599.43
2023-04-06,5593.568673250635,4805.640702763919,6381.950270590406,Electronics,5088.19
2023-04-07,5626.152598055699,4888.119391237821,6410.712789676339,Electronics,5880.99
2023-04-08,7661.205137432389,6874.817694310705,8468.135406787878,Electronics,7600.22
2023-04-09,7636.25110195912,6831.392896943075,8440.389113917186,Electronics,7423.95
2023-04-10,5633.697847754564,4793.736865342624,6403.8731618110805,Electronics,5583.14
2023-04-11,5511.497982649035,4692.622111230094,6286.352710115127,Electronics,5029.15
2023-04-12,5591.594625599151,4792.875278388038,6404.498179081946,Electronics,5462.34
2023-04-13,8375.654482729144,7639.339480076052,9176.30402841914,Electronics,7670.9
2023-04-14,8406.389045921565,7642.465684703194,9283.40006083486,Electronics,7356.04
2023-04-15,10439.001974002573,9639.203747587355,11244.863025552717,Electronics,10052.51
2023-04-16,7524.36813434888,6764.2628875105,8384.06635878704,Electronics,7483.55
2023-04-17,5518.371502718827,4733.855991034402,6353.131610002229,Electronics,6395.52
2023-04-18,5392.338183051794,4633.241020676042,6223.029216099647,Electronics,5614.91
2023-04-19,5468.297302916596,4689.101540638597,6243.960956369732,Electronics,5631.75
2023-04-20,5361.30214366717,4567.440906152317,6207.019113833559,Electronics,5465.71
2023-04-21,5387.566647499625,4561.510549367367,6113.274485542913,Electronics,4637.78
2023-04-22,7415.682467199078,6643.749527132007,8211.744774811423,Electronics,7081.7
2023-04-23,7383.317933469285,6626.774106979307,8208.822365828499,Electronics,7105.07
2023-04-24,5373.030431170971,4539.9546523424815,6202.155463587143,Electronics,6487.31
2023-04-25,5242.9243346117655,4447.008340211284,6071.648577236286,Electronics,5316.36
2023-04-26,5315.091536290871,4535.39072090949,6136.42467159255,Electronics,5509.27
2023-04-27,5204.635425218595,4354.649085077142,5952.119825341751,Electronics,5344.62
