date,category,sales,is_holiday,is_promo
2023-01-01,Electronics,11607.06,1,0
2023-01-02,Electronics,6078.36,0,0
2023-01-03,Electronics,6477.7,0,0
2023-01-04,Electronics,6922.34,0,0
2023-01-05,Electronics,6066.29,0,0
2023-01-06,Electronics,6077.34,0,0
2023-01-07,Electronics,9084.5,0,0
2023-01-08,Electronics,8575.28,0,0
2023-01-09,Electronics,5991.23,0,0
2023-01-10,Electronics,6505.52,0,0
2023-01-11,Electronics,6012.92,0,0
2023-01-12,Electronics,6020.58,0,0
2023-01-13,Electronics,6383.61,0,0
2023-01-14,Electronics,6904.32,0,0
2023-01-15,Electronics,7036.23,0,0
2023-01-16,Electronics,6003.87,0,0
2023-01-17,Electronics,5784.05,0,0
2023-01-18,Electronics,6459.44,0,0
2023-01-19,Electronics,5849.47,0,0
2023-01-20,Electronics,5600.56,0,0
2023-01-21,Electronics,9179.11,0,0
2023-01-22,Electronics,8074.45,0,0
2023-01-23,Electronics,6364.72,0,0
2023-01-24,Electronics,5613.2,0,0
2023-01-25,Electronics,6063.61,0,0
2023-01-26,Electronics,6400.03,0,0
2023-01-27,Electronics,5762.93,0,0
2023-01-28,Electronics,8504.01,0,0
2023-01-29,Electronics,7862.76,0,0
2023-01-30,Electronics,6207.78,0,0
2023-01-31,Electronics,6052.18,0,0
2023-02-01,Electronics,7302.46,0,0
2023-02-02,Electronics,6354.54,0,0
2023-02-03,Electronics,5824.05,0,0
2023-02-04,Electronics,8816.3,0,0
2023-02-05,Electronics,7464.38,0,0
2023-02-06,Electronics,6469.52,0,0
2023-02-07,Electronics,5365.2,0,0
2023-02-08,Electronics,5685.85,0,0
2023-02-09,Electronics,6460.75,0,0
2023-02-10,Electronics,6734.63,0,0
2023-02-11,Electronics,8377.35,0,0
2023-02-12,Electronics,8184.55,0,0
2023-02-13,Electronics,6198.85,0,0
2023-02-14,Electronics,5597.81,0,0
2023-02-15,Electronics,5979.86,0,0
2023-02-16,Electronics,6107.74,0,0
2023-02-17,Electronics,6873.15,0,0
2023-02-18,Electronics,8458.73,0,0
2023-02-19,Electronics,7065.79,0,0
2023-02-20,Electronics,6486.32,0,0
2023-02-21,Electronics,6122.15,0,0
2023-02-22,Electronics,5968.99,0,0
2023-02-23,Electronics,6612.87,0,0
2023-02-24,Electronics,6817.09,0,0
2023-02-25,Electronics,8787.03,0,0
2023-02-26,Electronics,7619.75,0,0
2023-02-27,Electronics,6120.19,0,0
2023-02-28,Electronics,6433.42,0,0
2023-03-01,Electronics,6747.36,0,0
2023-03-02,Electronics,6010.54,0,0
2023-03-03,Electronics,6148.33,0,0
2023-03-04,Electronics,7384.08,0,0
2023-03-05,Electronics,7314.37,0,0
2023-03-06,Electronics,6615.55,0,0
2023-03-07,Electronics,6874.23,0,0
2023-03-08,Electronics,6155.01,0,0
2023-03-09,Electronics,6675.77,0,0
2023-03-10,Electronics,6346.79,0,0
2023-03-11,Electronics,7590.64,0,0
2023-03-12,Electronics,8219.16,0,0
2023-03-13,Electronics,6887.12,0,0
2023-03-14,Electronics,6102.5,0,0
2023-03-15,Electronics,6871.69,0,0
2023-03-16,Electronics,4816.95,0,0
2023-03-17,Electronics,6480.62,0,0
2023-03-18,Electronics,7942.24,0,0
2023-03-19,Electronics,7681.01,0,0
2023-03-20,Electronics,6083.43,0,0
